"Date","Amount_Theft"
"2001-01-01",413
"2001-01-02",221
"2001-01-03",226
"2001-01-04",243
"2001-01-05",265
"2001-01-06",246
"2001-01-07",205
"2001-01-08",244
"2001-01-09",261
"2001-01-10",255
"2001-01-11",257
"2001-01-12",290
"2001-01-13",268
"2001-01-14",208
"2001-01-15",313
"2001-01-16",270
"2001-01-17",281
"2001-01-18",255
"2001-01-19",279
"2001-01-20",243
"2001-01-21",221
"2001-01-22",259
"2001-01-23",253
"2001-01-24",243
"2001-01-25",237
"2001-01-26",236
"2001-01-27",241
"2001-01-28",179
"2001-01-29",254
"2001-01-30",254
"2001-01-31",246
"2001-02-01",314
"2001-02-02",241
"2001-02-03",224
"2001-02-04",194
"2001-02-05",261
"2001-02-06",223
"2001-02-07",265
"2001-02-08",263
"2001-02-09",272
"2001-02-10",224
"2001-02-11",233
"2001-02-12",212
"2001-02-13",252
"2001-02-14",243
"2001-02-15",239
"2001-02-16",243
"2001-02-17",211
"2001-02-18",221
"2001-02-19",234
"2001-02-20",249
"2001-02-21",216
"2001-02-22",215
"2001-02-23",243
"2001-02-24",250
"2001-02-25",213
"2001-02-26",222
"2001-02-27",233
"2001-02-28",259
"2001-03-01",362
"2001-03-02",260
"2001-03-03",242
"2001-03-04",180
"2001-03-05",279
"2001-03-06",232
"2001-03-07",277
"2001-03-08",262
"2001-03-09",286
"2001-03-10",286
"2001-03-11",190
"2001-03-12",255
"2001-03-13",251
"2001-03-14",264
"2001-03-15",272
"2001-03-16",272
"2001-03-17",233
"2001-03-18",202
"2001-03-19",262
"2001-03-20",257
"2001-03-21",225
"2001-03-22",235
"2001-03-23",279
"2001-03-24",266
"2001-03-25",167
"2001-03-26",256
"2001-03-27",279
"2001-03-28",241
"2001-03-29",242
"2001-03-30",244
"2001-03-31",207
"2001-04-01",291
"2001-04-02",277
"2001-04-03",254
"2001-04-04",267
"2001-04-05",254
"2001-04-06",274
"2001-04-07",247
"2001-04-08",230
"2001-04-09",252
"2001-04-10",268
"2001-04-11",267
"2001-04-12",254
"2001-04-13",288
"2001-04-14",262
"2001-04-15",223
"2001-04-16",255
"2001-04-17",226
"2001-04-18",225
"2001-04-19",262
"2001-04-20",285
"2001-04-21",233
"2001-04-22",216
"2001-04-23",258
"2001-04-24",256
"2001-04-25",262
"2001-04-26",264
"2001-04-27",321
"2001-04-28",247
"2001-04-29",195
"2001-04-30",289
"2001-05-01",338
"2001-05-02",252
"2001-05-03",264
"2001-05-04",297
"2001-05-05",282
"2001-05-06",236
"2001-05-07",302
"2001-05-08",274
"2001-05-09",310
"2001-05-10",252
"2001-05-11",284
"2001-05-12",250
"2001-05-13",220
"2001-05-14",265
"2001-05-15",288
"2001-05-16",249
"2001-05-17",257
"2001-05-18",311
"2001-05-19",260
"2001-05-20",246
"2001-05-21",312
"2001-05-22",266
"2001-05-23",278
"2001-05-24",283
"2001-05-25",260
"2001-05-26",257
"2001-05-27",228
"2001-05-28",241
"2001-05-29",276
"2001-05-30",291
"2001-05-31",288
"2001-06-01",403
"2001-06-02",259
"2001-06-03",225
"2001-06-04",306
"2001-06-05",265
"2001-06-06",300
"2001-06-07",277
"2001-06-08",298
"2001-06-09",304
"2001-06-10",268
"2001-06-11",291
"2001-06-12",286
"2001-06-13",309
"2001-06-14",287
"2001-06-15",329
"2001-06-16",256
"2001-06-17",260
"2001-06-18",333
"2001-06-19",305
"2001-06-20",301
"2001-06-21",291
"2001-06-22",290
"2001-06-23",264
"2001-06-24",246
"2001-06-25",293
"2001-06-26",269
"2001-06-27",262
"2001-06-28",283
"2001-06-29",299
"2001-06-30",250
"2001-07-01",334
"2001-07-02",284
"2001-07-03",289
"2001-07-04",220
"2001-07-05",272
"2001-07-06",322
"2001-07-07",294
"2001-07-08",253
"2001-07-09",325
"2001-07-10",333
"2001-07-11",290
"2001-07-12",313
"2001-07-13",335
"2001-07-14",297
"2001-07-15",264
"2001-07-16",342
"2001-07-17",319
"2001-07-18",309
"2001-07-19",298
"2001-07-20",333
"2001-07-21",284
"2001-07-22",286
"2001-07-23",323
"2001-07-24",284
"2001-07-25",335
"2001-07-26",320
"2001-07-27",319
"2001-07-28",305
"2001-07-29",276
"2001-07-30",357
"2001-07-31",333
"2001-08-01",415
"2001-08-02",275
"2001-08-03",306
"2001-08-04",313
"2001-08-05",275
"2001-08-06",345
"2001-08-07",311
"2001-08-08",319
"2001-08-09",277
"2001-08-10",352
"2001-08-11",274
"2001-08-12",277
"2001-08-13",324
"2001-08-14",315
"2001-08-15",348
"2001-08-16",308
"2001-08-17",319
"2001-08-18",314
"2001-08-19",246
"2001-08-20",325
"2001-08-21",299
"2001-08-22",275
"2001-08-23",275
"2001-08-24",310
"2001-08-25",292
"2001-08-26",293
"2001-08-27",313
"2001-08-28",350
"2001-08-29",300
"2001-08-30",349
"2001-08-31",314
"2001-09-01",386
"2001-09-02",272
"2001-09-03",250
"2001-09-04",303
"2001-09-05",309
"2001-09-06",322
"2001-09-07",337
"2001-09-08",324
"2001-09-09",259
"2001-09-10",318
"2001-09-11",249
"2001-09-12",276
"2001-09-13",279
"2001-09-14",311
"2001-09-15",302
"2001-09-16",273
"2001-09-17",263
"2001-09-18",260
"2001-09-19",301
"2001-09-20",309
"2001-09-21",324
"2001-09-22",286
"2001-09-23",240
"2001-09-24",286
"2001-09-25",284
"2001-09-26",306
"2001-09-27",327
"2001-09-28",298
"2001-09-29",287
"2001-09-30",231
"2001-10-01",426
"2001-10-02",263
"2001-10-03",299
"2001-10-04",277
"2001-10-05",317
"2001-10-06",269
"2001-10-07",240
"2001-10-08",306
"2001-10-09",320
"2001-10-10",299
"2001-10-11",280
"2001-10-12",323
"2001-10-13",269
"2001-10-14",233
"2001-10-15",338
"2001-10-16",277
"2001-10-17",275
"2001-10-18",293
"2001-10-19",329
"2001-10-20",312
"2001-10-21",264
"2001-10-22",267
"2001-10-23",277
"2001-10-24",266
"2001-10-25",266
"2001-10-26",306
"2001-10-27",284
"2001-10-28",240
"2001-10-29",317
"2001-10-30",275
"2001-10-31",291
"2001-11-01",383
"2001-11-02",263
"2001-11-03",251
"2001-11-04",237
"2001-11-05",254
"2001-11-06",253
"2001-11-07",266
"2001-11-08",258
"2001-11-09",270
"2001-11-10",287
"2001-11-11",235
"2001-11-12",259
"2001-11-13",254
"2001-11-14",296
"2001-11-15",276
"2001-11-16",299
"2001-11-17",277
"2001-11-18",210
"2001-11-19",256
"2001-11-20",263
"2001-11-21",281
"2001-11-22",159
"2001-11-23",246
"2001-11-24",243
"2001-11-25",211
"2001-11-26",295
"2001-11-27",279
"2001-11-28",306
"2001-11-29",286
"2001-11-30",290
"2001-12-01",345
"2001-12-02",212
"2001-12-03",245
"2001-12-04",236
"2001-12-05",255
"2001-12-06",269
